psi,kappa_max,n_verified,rF_root_med,rF_root_p25,rF_root_p75,slope_med
5,0.45,118,0.006219515896388299,-0.009694871267869831,0.010591772541944097,0.12657070767064205
10,0.45,364,0.06523953463369711,0.05444026353425284,0.06780003726307013,0.2509120427082734
15,0.45,360,0.08203376182454229,0.07858741318397265,0.08749873890187922,0.3801237187138484
20,0.45,316,0.0935708527160656,0.0910060331071181,0.09768946323659872,0.498969820906664
