try_id,cand_id,sigma,g_n,i,delta,kappa_min,kappa_max,r_star,d_star,omega_star,rF,psi,phi2,lambda_star,f_star,Z_star,phi1_fixed,e_implied,stable,RH_ok,has_complex,hopf_val,ok,reason,n_roots,rF_root_med,rF_root_p25,rF_root_p75,has_hopf
348,1,2.35,0.08,0.025,0.06,0.02,0.45,0.13125169104336687,0.25698157560109997,0.6851339866580604,0.02,15,1,0.841412477299489,8.704720950769872,1,1.106256083608605,0.9401078244085421,FALSE,TRUE,TRUE,-9.566513025950282e-5,TRUE,ok,2,0.136442,0.124869,0.148015,TRUE
348,1,2.35,0.08,0.025,0.06,0.02,0.45,0.13125169104336687,0.25698157560109997,0.6851339866580604,0.045,10,0.5,0.7031862406990443,3.8868810962278904,0.999999964399331,0.5748243612935767,0.9394173569548393,FALSE,TRUE,TRUE,-5.018718393472524e-5,TRUE,ok,2,0.135241,0.1208265,0.1496555,TRUE
348,1,2.35,0.08,0.025,0.06,0.02,0.45,0.13125169104336687,0.25698157560109997,0.6851339866580604,0.05749999999999999,20,0.5,0.8138212965619713,7.171565504564989,1,0.5740389931248502,0.9407026464534146,FALSE,TRUE,TRUE,-4.967227917320599e-5,TRUE,ok,2,0.1337075,0.12550125,0.14191375,TRUE
348,1,2.35,0.08,0.025,0.06,0.02,0.45,0.13125169104336687,0.25698157560109997,0.6851339866580604,0.08249999999999999,10,1.5,0.6195213056922212,2.6714117053727304,0.9994054709352692,1.635879951133393,0.9408442259693675,FALSE,FALSE,TRUE,-0.04873448757223663,TRUE,ok,2,0.1404945,0.12317824999999999,0.15781075,TRUE
348,1,2.35,0.08,0.025,0.06,0.02,0.45,0.13125169104336687,0.25698157560109997,0.6851339866580604,0.08249999999999999,10,2.5,0.6195213056922212,2.6714117053727304,0.9994054709352692,2.697820281214081,0.9409498827682412,FALSE,FALSE,TRUE,-0.13311817109871696,TRUE,ok,2,0.143178,0.12447,0.161886,TRUE
348,1,2.35,0.08,0.025,0.06,0.02,0.45,0.13125169104336687,0.25698157560109997,0.6851339866580604,0.08249999999999999,5,1,0.560639652558834,2.0935236558348684,0.9428938477444115,1.0445446235360578,0.9409783226082366,FALSE,FALSE,FALSE,-0.2068415428838084,TRUE,ok,1,0.085442,0.085442,0.085442,TRUE
348,1,2.35,0.08,0.025,0.06,0.02,0.45,0.13125169104336687,0.25698157560109997,0.6851339866580604,0.1075,20,2.5,0.6165745001571417,2.6382715101437597,0.9992251180542517,2.7029869307531045,0.9389844864801015,FALSE,FALSE,TRUE,-0.2639138635855021,TRUE,ok,2,0.137859,0.12740800000000002,0.14831,TRUE
348,1,2.35,0.08,0.025,0.06,0.02,0.45,0.13125169104336687,0.25698157560109997,0.6851339866580604,0.0325,15,1.5,0.8147651398730988,7.216467133823199,1,1.6411053703166547,0.9383919081946906,FALSE,TRUE,TRUE,-1.4165798134582047e-4,TRUE,ok,2,0.13782350000000002,0.12550925000000002,0.15013775000000001,TRUE
348,1,2.35,0.08,0.025,0.06,0.02,0.45,0.13125169104336687,0.25698157560109997,0.6851339866580604,0.095,5,1.5,0.5451909538384682,1.9666834696002988,0.8568439306544439,1.407196865230799,0.9417771803835739,FALSE,FALSE,FALSE,4.317211211004634,TRUE,ok,1,0.085142,0.085142,0.085142,TRUE
348,1,2.35,0.08,0.025,0.06,0.02,0.45,0.13125169104336687,0.25698157560109997,0.6851339866580604,0.0325,5,3,0.6209914278028151,2.68813758452901,0.9994798917134122,3.2262106091249736,0.9417983024872436,FALSE,FALSE,TRUE,-0.12117717997708659,TRUE,ok,1,0.084854,0.084854,0.084854,TRUE
348,1,2.35,0.08,0.025,0.06,0.02,0.45,0.13125169104336687,0.25698157560109997,0.6851339866580604,0.045,10,1.5,0.7031862406990443,3.8868810962278904,0.999999964399331,1.6351560975424948,0.941806075220274,FALSE,TRUE,TRUE,-1.459630454050606e-4,TRUE,ok,2,0.1404945,0.12317824999999999,0.15781075,TRUE
348,1,2.35,0.08,0.025,0.06,0.02,0.45,0.13125169104336687,0.25698157560109997,0.6851339866580604,0.1075,10,1,0.5591016404467655,2.0804975280503992,0.9370167788565077,1.0373532911296934,0.9418361007873428,FALSE,FALSE,FALSE,0.3908072334804989,TRUE,ok,2,0.138464,0.122228,0.1547,TRUE
348,1,2.35,0.08,0.025,0.06,0.02,0.45,0.13125169104336687,0.25698157560109997,0.6851339866580604,0.12,20,1,0.5560222396307737,2.0546879180549387,0.9236747327854338,1.0274992407998071,0.9378836446003675,FALSE,FALSE,FALSE,3.955399761848027,TRUE,ok,2,0.1353705,0.12622325,0.14451775,TRUE
348,1,2.35,0.08,0.025,0.06,0.02,0.45,0.13125169104336687,0.25698157560109997,0.6851339866580604,0.08249999999999999,15,3,0.6750850803771075,3.408817702972898,0.9999983691282325,3.2440394137054684,0.9371017795102238,FALSE,TRUE,TRUE,-0.0011507737310408467,TRUE,ok,2,0.14035550000000002,0.12672725,0.15398375000000003,TRUE
