sigma,kappa_max,psi,phi2,n_roots,rF_root_med,rF_root_p25,rF_root_p75
2.5,0.45,5,0.5,24,0.016064034944477164,-0.007964008062998655,0.01802231583440835
2.5,0.45,5,1,24,0.010754804568715165,-0.013311176532036737,0.01265959796990266
2.5,0.45,5,1.5,21,0.008381945100529876,-0.016150027950622346,0.009562857940278013
2.5,0.45,5,2,17,0.006219516742086071,0.004847598487094065,0.0073872105307977685
2.5,0.45,5,2.5,16,0.004555208176766687,-0.0026061238702796597,0.005712832355699802
2.5,0.45,5,3,16,0.00320410606631827,-0.003953246863677101,0.004353622342445449
2.5,0.45,10,0.5,64,0.06546294870943353,0.05900985340703241,0.07210084751256399
2.5,0.45,10,1,60,0.06862348749847567,0.0565341763968613,0.06991109442230206
2.5,0.45,10,1.5,60,0.06711532844333426,0.055012360944367414,0.06838281123164439
2.5,0.45,10,2,60,0.06605542639970767,0.05394179878927112,0.06730895771143361
2.5,0.45,10,2.5,60,0.06523953463369711,0.0531172692701741,0.06648243755624507
2.5,0.45,10,3,60,0.06457709341568191,0.052447603554574694,0.065811436283554
2.5,0.45,15,0.5,60,0.08238350849534681,0.08163239030784367,0.09056202206863286
2.5,0.45,15,1,60,0.08063947905874941,0.07990835678833187,0.0888259768475988
2.5,0.45,15,1.5,60,0.07962942156577107,0.07890963588079852,0.08782303580105251
2.5,0.45,15,2,60,0.07891885105008133,0.07820693535498838,0.08711818224141538
2.5,0.45,15,2.5,60,0.07837156615027699,0.07766564946154512,0.08657559740175373
2.5,0.45,15,3,60,0.07792706125851473,0.07722598004733591,0.08613505632417257
2.5,0.45,20,0.5,56,0.09672466522970183,0.09349619762559533,0.10026801760056839
2.5,0.45,20,1,52,0.09253327742519077,0.09198921633888142,0.09867731843798137
2.5,0.45,20,1.5,52,0.091781578411946,0.09124588691368081,0.09793085516333998
2.5,0.45,20,2,52,0.09125271694911305,0.0907228356185875,0.09740620868853285
2.5,0.45,20,2.5,52,0.09084535875812726,0.09031990888728098,0.0970023164094199
2.5,0.45,20,3,52,0.09051448486665709,0.08999260658842474,0.09667436707016101
