try_id,cand_id,sigma,g_n,i,delta,kappa_max,psi,phi2,rF,omega_star,d_star,lambda_star,f_star,Z_star,phi1_fixed,e_star,stable,RH_ok,has_complex,has_hopf,n_roots,rF_root_med,rF_root_p25,rF_root_p75,pen_omega,pen_sigma,pen_lambda,pen_hopf,pen_dist,pen_e_star,score
528,8,2.5,0.07,0.04,0.06,0.45,10,0.5,0.08249999999999999,0.6752857843105318,0.00952614368439154,0.6159357215946554,2.972246296074839,0.9996120241913652,0.5609049182850868,0.9623841661900344,FALSE,TRUE,TRUE,TRUE,18,0.08818662128179541,0.07109209549575984,0.09744498128331286,6.2642892155265875,0.1499999999999999,0.11593572159465537,0,0.005686621281795423,0,50.414809832689876
528,8,2.5,0.07,0.04,0.06,0.45,10,1,0.08249999999999999,0.6752857843105318,0.00952614368439154,0.6159357215946554,2.972246296074839,0.9996120241913652,1.1919175604358316,0.872218061634418,FALSE,TRUE,TRUE,TRUE,18,0.08818662128179541,0.07109209549575984,0.09744498128331286,6.2642892155265875,0.1499999999999999,0.11593572159465537,0,0.005686621281795423,0,50.414809832689876
528,8,2.5,0.07,0.04,0.06,0.45,10,1.5,0.08249999999999999,0.6752857843105318,0.00952614368439154,0.6159357215946554,2.972246296074839,0.9996120241913652,1.6162206911249088,0.9524800942967724,FALSE,TRUE,TRUE,TRUE,18,0.08818662128179541,0.07109209549575984,0.09744498128331286,6.2642892155265875,0.1499999999999999,0.11593572159465537,0,0.005686621281795423,0,50.414809832689876
528,8,2.5,0.07,0.04,0.06,0.45,5,0.5,0.0325,0.6752857843105318,0.00952614368439154,0.6192029050692862,3.0136490567054945,0.999721385166984,0.5693592977710069,0.9481898244166744,FALSE,TRUE,TRUE,TRUE,12,0.04270167350589185,0.01004496363154877,0.06808091747109485,6.2642892155265875,0.1499999999999999,0.11920290506928621,0,0.01020167350589185,0,50.42776055730763
528,8,2.5,0.07,0.04,0.06,0.45,5,1,0.0325,0.6752857843105318,0.00952614368439154,0.6192029050692862,3.0136490567054945,0.999721385166984,1.1899674551095816,0.8737393453094381,FALSE,TRUE,TRUE,TRUE,12,0.04270167350589185,0.01004496363154877,0.06808091747109485,6.2642892155265875,0.1499999999999999,0.11920290506928621,0,0.01020167350589185,0,50.42776055730763
528,8,2.5,0.07,0.04,0.06,0.45,5,1.5,0.0325,0.6752857843105318,0.00952614368439154,0.6192029050692862,3.0136490567054945,0.999721385166984,1.654878124804236,0.930329584199804,FALSE,TRUE,TRUE,TRUE,12,0.04270167350589185,0.01004496363154877,0.06808091747109485,6.2642892155265875,0.1499999999999999,0.11920290506928621,0,0.01020167350589185,0,50.42776055730763
528,8,2.5,0.07,0.04,0.06,0.45,5,2,0.0325,0.6752857843105318,0.00952614368439154,0.6192029050692862,3.0136490567054945,0.999721385166984,2.393681202456355,0.8520110231225136,FALSE,TRUE,TRUE,TRUE,12,0.04270167350589185,0.01004496363154877,0.06808091747109485,6.2642892155265875,0.1499999999999999,0.11920290506928621,0,0.01020167350589185,0,50.42776055730763
528,8,2.5,0.07,0.04,0.06,0.45,5,2.5,0.0325,0.6752857843105318,0.00952614368439154,0.6192029050692862,3.0136490567054945,0.999721385166984,2.4952246345812457,1.0176652745910435,FALSE,TRUE,TRUE,TRUE,12,0.04270167350589185,0.01004496363154877,0.06808091747109485,6.2642892155265875,0.1499999999999999,0.11920290506928621,0,0.01020167350589185,0,50.42776055730763
528,8,2.5,0.07,0.04,0.06,0.45,5,3,0.0325,0.6752857843105318,0.00952614368439154,0.6192029050692862,3.0136490567054945,0.999721385166984,2.893813230819069,1.0502281637024455,FALSE,TRUE,TRUE,TRUE,12,0.04270167350589185,0.01004496363154877,0.06808091747109485,6.2642892155265875,0.1499999999999999,0.11920290506928621,0,0.01020167350589185,0,50.42776055730763
528,8,2.5,0.07,0.04,0.06,0.45,15,0.5,0.095,0.6752857843105318,0.00952614368439154,0.6273813408319064,3.120472196715955,0.999881441647044,0.62986850887537,0.8572276804052101,FALSE,TRUE,TRUE,TRUE,18,0.08818661951878476,0.07109209437343317,0.09744498178319354,6.2642892155265875,0.1499999999999999,0.12738134083190644,0,0.006813380481215242,0,50.43079809417342
528,8,2.5,0.07,0.04,0.06,0.45,15,1,0.095,0.6752857843105318,0.00952614368439154,0.6273813408319064,3.120472196715955,0.999881441647044,1.1712959810160102,0.8878041575324332,FALSE,TRUE,TRUE,TRUE,18,0.08818661951878476,0.07109209437343317,0.09744498178319354,6.2642892155265875,0.1499999999999999,0.12738134083190644,0,0.006813380481215242,0,50.43079809417342
528,8,2.5,0.07,0.04,0.06,0.45,15,1.5,0.095,0.6752857843105318,0.00952614368439154,0.6273813408319064,3.120472196715955,0.999881441647044,1.5435257010161878,0.9976005980702598,FALSE,TRUE,TRUE,TRUE,18,0.08818661951878476,0.07109209437343317,0.09744498178319354,6.2642892155265875,0.1499999999999999,0.12738134083190644,0,0.006813380481215242,0,50.43079809417342
528,8,2.5,0.07,0.04,0.06,0.45,15,2,0.095,0.6752857843105318,0.00952614368439154,0.6273813408319064,3.120472196715955,0.999881441647044,2.24529513635207,0.9084609191324796,FALSE,TRUE,TRUE,TRUE,18,0.08818661951878476,0.07109209437343317,0.09744498178319354,6.2642892155265875,0.1499999999999999,0.12738134083190644,0,0.006813380481215242,0,50.43079809417342
528,8,2.5,0.07,0.04,0.06,0.45,15,2.5,0.095,0.6752857843105318,0.00952614368439154,0.6273813408319064,3.120472196715955,0.999881441647044,2.6871838666265835,0.9451171673287412,FALSE,TRUE,TRUE,TRUE,18,0.08818661951878476,0.07109209437343317,0.09744498178319354,6.2642892155265875,0.1499999999999999,0.12738134083190644,0,0.006813380481215242,0,50.43079809417342
528,8,2.5,0.07,0.04,0.06,0.45,15,3,0.095,0.6752857843105318,0.00952614368439154,0.6273813408319064,3.120472196715955,0.999881441647044,3.2239546536235144,0.9428309798107024,FALSE,TRUE,TRUE,TRUE,18,0.08818661951878476,0.07109209437343317,0.09744498178319354,6.2642892155265875,0.1499999999999999,0.12738134083190644,0,0.006813380481215242,0,50.43079809417342
528,8,2.5,0.07,0.04,0.06,0.45,5,0.5,0.02,0.6752857843105318,0.00952614368439154,0.6338261163540191,3.2080127219860337,0.9999411412343228,0.599009639164433,0.901438867278286,FALSE,TRUE,TRUE,TRUE,10,0.016401411392877922,0.008951347426183616,0.06681160865353661,6.2642892155265875,0.1499999999999999,0.1338261163540191,0,0.003598588607122078,0,50.432102241051766
528,8,2.5,0.07,0.04,0.06,0.45,5,1,0.02,0.6752857843105318,0.00952614368439154,0.6338261163540191,3.2080127219860337,0.9999411412343228,1.1442265195073562,0.908859498975838,FALSE,TRUE,TRUE,TRUE,10,0.016401411392877922,0.008951347426183616,0.06681160865353661,6.2642892155265875,0.1499999999999999,0.1338261163540191,0,0.003598588607122078,0,50.432102241051766
528,8,2.5,0.07,0.04,0.06,0.45,5,1.5,0.02,0.6752857843105318,0.00952614368439154,0.6338261163540191,3.2080127219860337,0.9999411412343228,1.6625060305697843,0.92625932389774,FALSE,TRUE,TRUE,TRUE,10,0.016401411392877922,0.008951347426183616,0.06681160865353661,6.2642892155265875,0.1499999999999999,0.1338261163540191,0,0.003598588607122078,0,50.432102241051766
