try_id,cand_id,sigma,g_n,i,delta,kappa_min,kappa_max,r_star,d_star,omega_star,rF,psi,phi2,r_implied,lambda_star,f_star,Z_star,phi1_fixed,e_star,c1,c2,c3,H,maxReEig,maxImEig,stable,RH_ok,has_complex,reason,n_roots,rF_root_med,rF_root_p25,rF_root_p75,has_hopf,pen_omega,pen_sigma,pen_lambda,pen_hopf,pen_dist,pen_e_star,pen_RH,pen_cx,score
576,16,2.5,0.08,0.04,0.06,0.02,0.45,0.13979741561574782,0.00633076200788132,0.6502532304803152,0.045,5,0.5,0.13979741561574782,0.6163270091134071,2.807108041705542,0.9985100332988748,0.6262885804055259,0.86103281062584,0.02393813457281761,0.12526106097787904,0.01033364222400663,-0.00733512608958425,0.02786716458914459,0.35906123911777227,FALSE,TRUE,TRUE,ok,NA,NA,NA,NA,FALSE,5.012661524015761,0.1499999999999999,0.1163270091134071,10,1,0,0,0,67.39088460306218
564,14,2.5,0.08,0.035,0.06,0.02,0.45,0.13979741561574782,0.00633076200788132,0.6502848842903546,0.045,5,0.5,0.13979741561574782,0.6163270091134071,2.807108041705542,0.9985100332988748,0.6064415525645018,0.889211852929688,0.02434257324634639,0.12526715858669307,0.01033414525749057,-0.00728482027423231,0.02767414691691985,0.3590432476821441,FALSE,TRUE,TRUE,ok,NA,NA,NA,NA,FALSE,5.014244214517728,0.1499999999999999,0.1163270091134071,10,1,0,0,0,67.4035461270779
564,14,2.5,0.08,0.035,0.06,0.02,0.45,0.13979741561574782,0.00633076200788132,0.6502848842903546,0.1075,15,0.5,0.13979741561574782,0.6188007754336792,2.836664649733524,0.9988234167245328,0.5778895645169542,0.9334165928625988,3.1229875462709944e-4,0.12331609352553063,0.01033714805741089,-0.01029863659497738,0.03970993146205001,0.35787083175354867,FALSE,TRUE,TRUE,ok,NA,NA,NA,NA,FALSE,5.014244214517728,0.1499999999999999,0.11880077543367917,10,1,0,0,0,67.40651464666223
576,16,2.5,0.08,0.04,0.06,0.02,0.45,0.13979741561574782,0.00633076200788132,0.6502532304803152,0.0325,5,0.5,0.13979741561574782,0.6309948448313425,2.9881509559793127,0.9996495190788648,0.5671286558965222,0.9518559041705844,0.06350636111133634,0.1283221763856571,0.0103445600996,-0.00219528562745987,0.0081493391906212,0.3599395523255334,FALSE,TRUE,TRUE,ok,NA,NA,NA,NA,FALSE,5.012661524015761,0.1499999999999999,0.1309948448313425,10,1,0,0,0,67.40848600592369
576,16,2.5,0.08,0.04,0.06,0.02,0.45,0.13979741561574782,0.00633076200788132,0.6502532304803152,0.0325,5,1,0.13979741561574782,0.6309948448313425,2.9881509559793127,0.9996495190788648,1.09491235120222,0.9495276201216688,0.05026879596239811,0.24706294703102755,0.01992260773997707,-0.00750305086580557,0.0148022630469391,0.4992078243444675,FALSE,TRUE,TRUE,ok,NA,NA,NA,NA,FALSE,5.012661524015761,0.1499999999999999,0.1309948448313425,10,1,0,0,0,67.40848600592369
576,16,2.5,0.08,0.04,0.06,0.02,0.45,0.13979741561574782,0.00633076200788132,0.6502532304803152,0.0325,5,1.5,0.13979741561574782,0.6309948448313425,2.9881509559793127,0.9996495190788648,1.6293958042049783,0.9448129635815798,0.03703123081345989,0.365803717676398,0.02950065538035415,-0.01595449347865774,0.02143341330064974,0.6072637834118387,FALSE,TRUE,TRUE,ok,NA,NA,NA,NA,FALSE,5.012661524015761,0.1499999999999999,0.1309948448313425,10,1,0,0,0,67.40848600592369
576,16,2.5,0.08,0.04,0.06,0.02,0.45,0.13979741561574782,0.00633076200788132,0.6502532304803152,0.0325,5,2,0.13979741561574782,0.6309948448313425,2.9881509559793127,0.9996495190788648,2.3136908747954297,0.8814051437783532,0.02379366566452166,0.4845444883217684,0.03907870302073121,-0.02754961346601633,0.02805858329183599,0.69874285235023,FALSE,TRUE,TRUE,ok,NA,NA,NA,NA,FALSE,5.012661524015761,0.1499999999999999,0.1309948448313425,10,1,0,0,0,67.40848600592369
576,16,2.5,0.08,0.04,0.06,0.02,0.45,0.13979741561574782,0.00633076200788132,0.6502532304803152,0.0325,5,2.5,0.13979741561574782,0.6309948448313425,2.9881509559793127,0.9996495190788648,2.70854654959403,0.9374488313954724,0.01055610051558343,0.6032852589671388,0.04865675066110828,-0.04228841082788138,0.0346812660808504,0.7795035775925377,FALSE,TRUE,TRUE,ok,NA,NA,NA,NA,FALSE,5.012661524015761,0.1499999999999999,0.1309948448313425,10,1,0,0,0,67.40848600592369
552,12,2.5,0.08,0.03,0.06,0.02,0.45,0.13979741561574782,0.00633076200788132,0.650316538100394,0.045,5,0.5,0.13979741561574782,0.6163270091134071,2.807108041705542,0.9985100332988748,0.5331683888565749,1.011415957735071,0.02474701191987518,0.1252732561955071,0.01033464829097451,-0.00723450952666272,0.02748113637731035,0.35902513391721474,FALSE,TRUE,TRUE,ok,NA,NA,NA,NA,FALSE,5.015826905019701,0.1499999999999999,0.1163270091134071,10,1,0,0,0,67.41620765109369
576,16,2.5,0.08,0.04,0.06,0.02,0.45,0.13979741561574782,0.00633076200788132,0.6502532304803152,0.08249999999999999,10,0.5,0.13979741561574782,0.6394491625457588,3.099193340276756,0.9998558039930688,0.6387877165107056,0.8452383914734929,0.068769726099674,0.12872429729662543,0.01034653659906109,-0.00149420193159915,0.005530103021042,0.3599675690322886,FALSE,TRUE,TRUE,ok,NA,NA,NA,NA,FALSE,5.012661524015761,0.1499999999999999,0.1394491625457588,10,1,0,0,0,67.418631187181
