try_id,cand_id,sigma,g_n,i,delta,kappa_min,kappa_max,r_star,d_star,omega_star,rF,psi,phi2,lambda_star,f_star,Z_star,phi1_fixed,e_implied,stable,RH_ok,has_complex,hopf_val,ok,reason,n_roots,rF_root_med,rF_root_p25,rF_root_p75,has_hopf,e_star,ok_flag,gate_interior,gate_hopf,gate_ok,gate_reason,score_stage4,rank_stage4
528,8,2.5,0.07,0.04,0.06,0.02,0.45,0.129733267976837,0.00952614368439154,0.6752857843105318,0.0325,20,1,0.8748637875805725,12.957187783386786,1,1.1180067324545235,0.930226956430518,TRUE,TRUE,TRUE,7.161196667881294e-4,TRUE,ok,4,0.132375,0.111856,0.15579875,TRUE,0.930226956430518,TRUE,TRUE,TRUE,TRUE,pass,2.4487375903600963,1
504,6,2.5,0.07,0.03,0.06,0.02,0.45,0.12973326797683704,0.00952614368439154,0.6753810457473757,0.095,20,2.5,0.6670039543639891,3.712296453758572,0.9999989582221378,2.729300207551569,0.930640531418108,TRUE,TRUE,TRUE,8.862798102531599e-4,TRUE,ok,4,0.134482,0.111219,0.16147125,TRUE,0.930640531418108,TRUE,TRUE,TRUE,TRUE,pass,2.4477199175112285,2
528,8,2.5,0.07,0.04,0.06,0.02,0.45,0.129733267976837,0.00952614368439154,0.6752857843105318,0.08249999999999999,15,1,0.6700694132326793,3.764007956155923,0.9999993111714858,1.117019053781405,0.9310488551209696,TRUE,TRUE,TRUE,6.774332175906277e-4,TRUE,ok,4,0.133073,0.10667050000000002,0.1631075,TRUE,0.9310488551209696,TRUE,TRUE,TRUE,TRUE,pass,2.447093792979193,3
549,11,2.5,0.08,0.03,0.05,0.02,0.45,0.129733267976837,0.0083353757238426,0.6754167687861922,0.0325,20,0.5,0.8748637875805725,11.33753931046344,1,0.5799923022976146,0.931046839519789,TRUE,TRUE,TRUE,2.812874389820936e-4,TRUE,ok,4,0.1241835,0.10522475,0.14637899999999998,TRUE,0.931046839519789,TRUE,TRUE,TRUE,TRUE,pass,2.446240471249959,4
492,5,2.5,0.07,0.025,0.06,0.02,0.45,0.12973326797683704,0.00952614368439154,0.6754286764657976,0.02,10,2,0.7497599965864213,5.552887127134718,0.9999999999995804,2.1900604349328208,0.9314811442916812,TRUE,TRUE,TRUE,8.781208361723983e-4,TRUE,ok,3,0.104901,0.085462,0.1373125,TRUE,0.9314811442916812,TRUE,TRUE,TRUE,TRUE,pass,2.4459434303272385,5
516,7,2.5,0.07,0.035,0.06,0.02,0.45,0.12973326797683704,0.00952614368439154,0.6753334150289537,0.02,20,2.5,0.8997694344969538,16.637358442664556,1,2.7239193334011365,0.9324798898609484,TRUE,TRUE,TRUE,0.00153046944222758,TRUE,ok,4,0.13448100000000002,0.111294,0.16113275,TRUE,0.9324798898609484,TRUE,TRUE,TRUE,TRUE,pass,2.4441364620623913,6
561,13,2.5,0.08,0.035,0.05,0.02,0.45,0.129733267976837,0.0083353757238426,0.6753750919075729,0.0325,15,2.5,0.8113029964002761,6.972354292498281,1,2.723581459000707,0.9325955688257388,TRUE,TRUE,TRUE,0.00154351298096811,TRUE,ok,4,0.1267345,0.096588,0.1615025,TRUE,0.9325955688257388,TRUE,TRUE,TRUE,TRUE,pass,2.4432263663952978,7
504,6,2.5,0.07,0.03,0.06,0.02,0.45,0.12973326797683704,0.00952614368439154,0.6753810457473757,0.045,20,1,0.8448367152071128,10.091067992104884,1,1.114771774597466,0.9329263834075228,TRUE,TRUE,TRUE,5.371655164443691e-4,TRUE,ok,4,0.13237749999999998,0.11172425,0.1563455,TRUE,0.9329263834075228,TRUE,TRUE,TRUE,TRUE,pass,2.4431482135323987,8
528,8,2.5,0.07,0.04,0.06,0.02,0.45,0.129733267976837,0.00952614368439154,0.6752857843105318,0.08249999999999999,20,0.5,0.7200410742989873,4.766683000905771,0.9999999997738164,0.5786655136616901,0.9331815826899488,TRUE,TRUE,TRUE,3.718261900887386e-4,TRUE,ok,4,0.1309455,0.112339,0.15227249999999998,TRUE,0.9331815826899488,TRUE,TRUE,TRUE,TRUE,pass,2.4428283378412345,9
504,6,2.5,0.07,0.03,0.06,0.02,0.45,0.12973326797683704,0.00952614368439154,0.6753810457473757,0.045,15,2,0.7809137156371934,6.606039692287071,1,2.186009524459951,0.9332072789133788,TRUE,TRUE,TRUE,0.0010536708207178,TRUE,ok,3,0.112239,0.099655,0.1351165,TRUE,0.9332072789133788,TRUE,TRUE,TRUE,TRUE,pass,2.442586422520687,10
504,6,2.5,0.07,0.03,0.06,0.02,0.45,0.12973326797683704,0.00952614368439154,0.6753810457473757,0.08249999999999999,20,3,0.7200410742989874,4.7666830009057755,0.9999999997738164,3.257129173725844,0.9333372541206216,TRUE,TRUE,TRUE,0.00157000589273698,TRUE,ok,4,0.1349175,0.11113625,0.16253575,TRUE,0.9333372541206216,TRUE,TRUE,TRUE,TRUE,pass,2.4423264721062012,11
492,5,2.5,0.07,0.025,0.06,0.02,0.45,0.12973326797683704,0.00952614368439154,0.6754286764657976,0.045,15,1,0.7809137156371934,6.606039692287071,1,1.1139779274817558,0.9335912088949648,TRUE,TRUE,TRUE,4.476694996841807e-4,TRUE,ok,4,0.133077,0.1063695,0.164286,TRUE,0.9335912088949648,TRUE,TRUE,TRUE,TRUE,pass,2.441723301120671,12
549,11,2.5,0.08,0.03,0.05,0.02,0.45,0.129733267976837,0.0083353757238426,0.6754167687861922,0.02,15,2.5,0.8383495730379544,8.410264657291656,1,2.721139195980504,0.933432587260486,TRUE,TRUE,TRUE,0.00132309276854539,TRUE,ok,4,0.1267365,0.0964995,0.16194299999999998,TRUE,0.933432587260486,TRUE,TRUE,TRUE,TRUE,pass,2.441468975768565,13
