candidate_id,sim_ok,sim_reason,rF_below,rF_above,stop_reason_below,stop_reason_above,tainted_below,tainted_above,bounded_below,bounded_reason_below,bounded_above,bounded_reason_above,cycle_below,cycle_reason_below,cycle_above,cycle_reason_above,amp_below,amp_above,period_below,period_above,omega_mean_below,omega_mean_above,flip_ok,class_5B
1,TRUE,ok,0.130375,0.134375,ok|fallback_from_bad_x0,ok|fallback_from_bad_x0,TRUE,TRUE,FALSE,e_out_of_bounds;omega_out_of_bounds;d_out_of_bounds,FALSE,e_out_of_bounds;omega_out_of_bounds;d_out_of_bounds,FALSE,low_var_or_amp,FALSE,low_var_or_amp,4.074615861552355e-64,4.040414757741539e-64,NA,NA,1.0050364068123494e-66,9.966004325572901e-67,FALSE,FAIL_NUMERIC_TAINT
2,TRUE,ok,0.132482,0.136482,ok|fallback_from_bad_x0,ok|fallback_from_bad_x0,TRUE,TRUE,FALSE,e_out_of_bounds;omega_out_of_bounds;d_out_of_bounds,FALSE,e_out_of_bounds;omega_out_of_bounds;d_out_of_bounds,FALSE,low_var_or_amp,FALSE,low_var_or_amp,3.02202585062448e-15,2.465595815932921e-15,NA,NA,-2.3007206924394416e-18,3.06214150993093e-18,FALSE,FAIL_NUMERIC_TAINT
3,TRUE,ok,0.131073,0.135073,ok|fallback_from_bad_x0,ok|fallback_from_bad_x0,TRUE,TRUE,FALSE,e_out_of_bounds;omega_out_of_bounds;d_out_of_bounds,FALSE,e_out_of_bounds;omega_out_of_bounds;d_out_of_bounds,FALSE,low_var_or_amp,FALSE,low_var_or_amp,3.9592593822631624e-64,3.9257165402035494e-64,NA,NA,9.765828137709803e-67,9.683092050122733e-67,FALSE,FAIL_NUMERIC_TAINT
4,TRUE,ok,0.1221835,0.1261835,ok|fallback_from_bad_x0,ok|fallback_from_bad_x0,TRUE,TRUE,FALSE,e_out_of_bounds;omega_out_of_bounds;d_out_of_bounds,FALSE,e_out_of_bounds;omega_out_of_bounds;d_out_of_bounds,FALSE,low_var_or_amp,FALSE,low_var_or_amp,1.2739829059572339e-31,1.263268033331815e-31,NA,NA,5.977304090064678e-34,5.927031789023363e-34,FALSE,FAIL_NUMERIC_TAINT
5,TRUE,ok,0.10290099999999999,0.106901,ok|fallback_from_bad_x0,ok|fallback_from_bad_x0,TRUE,TRUE,FALSE,e_out_of_bounds;omega_out_of_bounds;d_out_of_bounds,FALSE,e_out_of_bounds;omega_out_of_bounds;d_out_of_bounds,FALSE,low_var_or_amp,FALSE,low_var_or_amp,3.297002894309144e-15,3.0813712691884574e-15,NA,NA,-3.823978899603484e-17,-1.0100810225992272e-17,FALSE,FAIL_NUMERIC_TAINT
6,TRUE,ok,0.13248100000000002,0.13648100000000002,ok|fallback_from_bad_x0,ok|fallback_from_bad_x0,TRUE,TRUE,FALSE,e_out_of_bounds;omega_out_of_bounds;d_out_of_bounds,FALSE,e_out_of_bounds;omega_out_of_bounds;d_out_of_bounds,FALSE,low_var_or_amp,FALSE,low_var_or_amp,2.378121295046247e-15,2.7384571470326284e-15,NA,NA,1.7687270036209e-18,2.1451873546801516e-18,FALSE,FAIL_NUMERIC_TAINT
7,TRUE,ok,0.1247345,0.1287345,ok|fallback_from_bad_x0,ok|fallback_from_bad_x0,TRUE,TRUE,FALSE,e_out_of_bounds;omega_out_of_bounds;d_out_of_bounds,FALSE,e_out_of_bounds;omega_out_of_bounds;d_out_of_bounds,FALSE,low_var_or_amp,FALSE,low_var_or_amp,2.455648819984609e-15,2.8404464592126897e-15,NA,NA,2.3232485331925393e-18,3.928085540455111e-18,FALSE,FAIL_NUMERIC_TAINT
8,TRUE,ok,0.13037749999999998,0.13437749999999998,ok|fallback_from_bad_x0,ok|fallback_from_bad_x0,TRUE,TRUE,FALSE,e_out_of_bounds;omega_out_of_bounds;d_out_of_bounds,FALSE,e_out_of_bounds;omega_out_of_bounds;d_out_of_bounds,FALSE,low_var_or_amp,FALSE,low_var_or_amp,8.363521551615987e-66,8.279220813603017e-66,NA,NA,2.0629290993377192e-68,2.042135651918154e-68,FALSE,FAIL_NUMERIC_TAINT
9,TRUE,ok,0.1289455,0.1329455,ok|fallback_from_bad_x0,ok|fallback_from_bad_x0,TRUE,TRUE,FALSE,e_out_of_bounds;omega_out_of_bounds;d_out_of_bounds,FALSE,e_out_of_bounds;omega_out_of_bounds;d_out_of_bounds,FALSE,low_var_or_amp,FALSE,low_var_or_amp,1.364216657013355e-30,1.3546211716732994e-30,NA,NA,6.400665151044723e-33,6.35564481750366e-33,FALSE,FAIL_NUMERIC_TAINT
10,TRUE,ok,0.110239,0.11423900000000001,ok|fallback_from_bad_x0,ok|fallback_from_bad_x0,TRUE,TRUE,FALSE,e_out_of_bounds;omega_out_of_bounds;d_out_of_bounds,FALSE,e_out_of_bounds;omega_out_of_bounds;d_out_of_bounds,FALSE,low_var_or_amp,FALSE,low_var_or_amp,3.4576160637116133e-15,3.3258172608591265e-15,NA,NA,2.7368244849595577e-17,2.7665028631167796e-17,FALSE,FAIL_NUMERIC_TAINT
11,TRUE,ok,0.1329175,0.1369175,ok|fallback_from_bad_x0,ok|fallback_from_bad_x0,TRUE,TRUE,FALSE,e_out_of_bounds;omega_out_of_bounds;d_out_of_bounds,FALSE,e_out_of_bounds;omega_out_of_bounds;d_out_of_bounds,FALSE,low_var_or_amp,FALSE,low_var_or_amp,2.7138974356810925e-15,2.802559836697759e-15,NA,NA,-1.808432884381368e-18,-1.2817134188346084e-18,FALSE,FAIL_NUMERIC_TAINT
