try_id,cand_id,sigma,g_n,i,delta,kappa_min,kappa_max,r_star,d_star,omega_star,rF,psi,phi2,lambda_star,f_star,Z_star,phi1_fixed,e_implied,stable,RH_ok,has_complex,hopf_val,ok,reason,n_roots,rF_root_med,rF_root_p25,rF_root_p75,has_hopf,e_star,ok_flag,gate_interior,gate_hopf,gate_ok,gate_reason,score_stage4,rank_stage4,candidate_id,rF_anchor,anchor_source,sim_ok,sim_reason,rF_below,rF_above,stop_reason_below,stop_reason_above,tainted_below,tainted_above,bounded_below,bounded_reason_below,bounded_above,bounded_reason_above,cycle_below,cycle_reason_below,cycle_above,cycle_reason_above,amp_below,amp_above,period_below,period_above,omega_mean_below,omega_mean_above,flip_ok,class_5B,survival_rate,bounded_rate,cycle_rate,amp_med,period_med,taint_share,class_5D,score_stage5
528,8,2.5,0.07,0.04,0.06,0.02,0.45,0.129733267976837,0.00952614368439154,0.6752857843105318,0.0325,20,1,0.8748637875805725,12.957187783386786,1,1.1180067324545235,0.930226956430518,TRUE,TRUE,TRUE,7.161196667881294e-4,TRUE,ok,4,0.132375,0.111856,0.15579875,TRUE,0.930226956430518,TRUE,TRUE,TRUE,TRUE,pass,2.4487375903600963,1,1,0.132375,hopf_root_med,TRUE,ok,0.130375,0.134375,ok|fallback_from_bad_x0,ok|fallback_from_bad_x0,TRUE,TRUE,FALSE,e_out_of_bounds;omega_out_of_bounds;d_out_of_bounds,FALSE,e_out_of_bounds;omega_out_of_bounds;d_out_of_bounds,FALSE,low_var_or_amp,FALSE,low_var_or_amp,4.074615861552355e-64,4.040414757741539e-64,NA,NA,1.0050364068123494e-66,9.966004325572901e-67,FALSE,FAIL_NUMERIC_TAINT,NA,NA,NA,NA,NA,NA,FAIL_NUMERIC_TAINT,0
504,6,2.5,0.07,0.03,0.06,0.02,0.45,0.12973326797683704,0.00952614368439154,0.6753810457473757,0.095,20,2.5,0.6670039543639891,3.712296453758572,0.9999989582221378,2.729300207551569,0.930640531418108,TRUE,TRUE,TRUE,8.862798102531599e-4,TRUE,ok,4,0.134482,0.111219,0.16147125,TRUE,0.930640531418108,TRUE,TRUE,TRUE,TRUE,pass,2.4477199175112285,2,2,0.134482,hopf_root_med,TRUE,ok,0.132482,0.136482,ok|fallback_from_bad_x0,ok|fallback_from_bad_x0,TRUE,TRUE,FALSE,e_out_of_bounds;omega_out_of_bounds;d_out_of_bounds,FALSE,e_out_of_bounds;omega_out_of_bounds;d_out_of_bounds,FALSE,low_var_or_amp,FALSE,low_var_or_amp,3.02202585062448e-15,2.465595815932921e-15,NA,NA,-2.3007206924394416e-18,3.06214150993093e-18,FALSE,FAIL_NUMERIC_TAINT,NA,NA,NA,NA,NA,NA,FAIL_NUMERIC_TAINT,0
528,8,2.5,0.07,0.04,0.06,0.02,0.45,0.129733267976837,0.00952614368439154,0.6752857843105318,0.08249999999999999,15,1,0.6700694132326793,3.764007956155923,0.9999993111714858,1.117019053781405,0.9310488551209696,TRUE,TRUE,TRUE,6.774332175906277e-4,TRUE,ok,4,0.133073,0.10667050000000002,0.1631075,TRUE,0.9310488551209696,TRUE,TRUE,TRUE,TRUE,pass,2.447093792979193,3,3,0.133073,hopf_root_med,TRUE,ok,0.131073,0.135073,ok|fallback_from_bad_x0,ok|fallback_from_bad_x0,TRUE,TRUE,FALSE,e_out_of_bounds;omega_out_of_bounds;d_out_of_bounds,FALSE,e_out_of_bounds;omega_out_of_bounds;d_out_of_bounds,FALSE,low_var_or_amp,FALSE,low_var_or_amp,3.9592593822631624e-64,3.9257165402035494e-64,NA,NA,9.765828137709803e-67,9.683092050122733e-67,FALSE,FAIL_NUMERIC_TAINT,NA,NA,NA,NA,NA,NA,FAIL_NUMERIC_TAINT,0
549,11,2.5,0.08,0.03,0.05,0.02,0.45,0.129733267976837,0.0083353757238426,0.6754167687861922,0.0325,20,0.5,0.8748637875805725,11.33753931046344,1,0.5799923022976146,0.931046839519789,TRUE,TRUE,TRUE,2.812874389820936e-4,TRUE,ok,4,0.1241835,0.10522475,0.14637899999999998,TRUE,0.931046839519789,TRUE,TRUE,TRUE,TRUE,pass,2.446240471249959,4,4,0.1241835,hopf_root_med,TRUE,ok,0.1221835,0.1261835,ok|fallback_from_bad_x0,ok|fallback_from_bad_x0,TRUE,TRUE,FALSE,e_out_of_bounds;omega_out_of_bounds;d_out_of_bounds,FALSE,e_out_of_bounds;omega_out_of_bounds;d_out_of_bounds,FALSE,low_var_or_amp,FALSE,low_var_or_amp,1.2739829059572339e-31,1.263268033331815e-31,NA,NA,5.977304090064678e-34,5.927031789023363e-34,FALSE,FAIL_NUMERIC_TAINT,NA,NA,NA,NA,NA,NA,FAIL_NUMERIC_TAINT,0
492,5,2.5,0.07,0.025,0.06,0.02,0.45,0.12973326797683704,0.00952614368439154,0.6754286764657976,0.02,10,2,0.7497599965864213,5.552887127134718,0.9999999999995804,2.1900604349328208,0.9314811442916812,TRUE,TRUE,TRUE,8.781208361723983e-4,TRUE,ok,3,0.104901,0.085462,0.1373125,TRUE,0.9314811442916812,TRUE,TRUE,TRUE,TRUE,pass,2.4459434303272385,5,5,0.104901,hopf_root_med,TRUE,ok,0.10290099999999999,0.106901,ok|fallback_from_bad_x0,ok|fallback_from_bad_x0,TRUE,TRUE,FALSE,e_out_of_bounds;omega_out_of_bounds;d_out_of_bounds,FALSE,e_out_of_bounds;omega_out_of_bounds;d_out_of_bounds,FALSE,low_var_or_amp,FALSE,low_var_or_amp,3.297002894309144e-15,3.0813712691884574e-15,NA,NA,-3.823978899603484e-17,-1.0100810225992272e-17,FALSE,FAIL_NUMERIC_TAINT,NA,NA,NA,NA,NA,NA,FAIL_NUMERIC_TAINT,0
516,7,2.5,0.07,0.035,0.06,0.02,0.45,0.12973326797683704,0.00952614368439154,0.6753334150289537,0.02,20,2.5,0.8997694344969538,16.637358442664556,1,2.7239193334011365,0.9324798898609484,TRUE,TRUE,TRUE,0.00153046944222758,TRUE,ok,4,0.13448100000000002,0.111294,0.16113275,TRUE,0.9324798898609484,TRUE,TRUE,TRUE,TRUE,pass,2.4441364620623913,6,6,0.13448100000000002,hopf_root_med,TRUE,ok,0.13248100000000002,0.13648100000000002,ok|fallback_from_bad_x0,ok|fallback_from_bad_x0,TRUE,TRUE,FALSE,e_out_of_bounds;omega_out_of_bounds;d_out_of_bounds,FALSE,e_out_of_bounds;omega_out_of_bounds;d_out_of_bounds,FALSE,low_var_or_amp,FALSE,low_var_or_amp,2.378121295046247e-15,2.7384571470326284e-15,NA,NA,1.7687270036209e-18,2.1451873546801516e-18,FALSE,FAIL_NUMERIC_TAINT,NA,NA,NA,NA,NA,NA,FAIL_NUMERIC_TAINT,0
561,13,2.5,0.08,0.035,0.05,0.02,0.45,0.129733267976837,0.0083353757238426,0.6753750919075729,0.0325,15,2.5,0.8113029964002761,6.972354292498281,1,2.723581459000707,0.9325955688257388,TRUE,TRUE,TRUE,0.00154351298096811,TRUE,ok,4,0.1267345,0.096588,0.1615025,TRUE,0.9325955688257388,TRUE,TRUE,TRUE,TRUE,pass,2.4432263663952978,7,7,0.1267345,hopf_root_med,TRUE,ok,0.1247345,0.1287345,ok|fallback_from_bad_x0,ok|fallback_from_bad_x0,TRUE,TRUE,FALSE,e_out_of_bounds;omega_out_of_bounds;d_out_of_bounds,FALSE,e_out_of_bounds;omega_out_of_bounds;d_out_of_bounds,FALSE,low_var_or_amp,FALSE,low_var_or_amp,2.455648819984609e-15,2.8404464592126897e-15,NA,NA,2.3232485331925393e-18,3.928085540455111e-18,FALSE,FAIL_NUMERIC_TAINT,NA,NA,NA,NA,NA,NA,FAIL_NUMERIC_TAINT,0
504,6,2.5,0.07,0.03,0.06,0.02,0.45,0.12973326797683704,0.00952614368439154,0.6753810457473757,0.045,20,1,0.8448367152071128,10.091067992104884,1,1.114771774597466,0.9329263834075228,TRUE,TRUE,TRUE,5.371655164443691e-4,TRUE,ok,4,0.13237749999999998,0.11172425,0.1563455,TRUE,0.9329263834075228,TRUE,TRUE,TRUE,TRUE,pass,2.4431482135323987,8,8,0.13237749999999998,hopf_root_med,TRUE,ok,0.13037749999999998,0.13437749999999998,ok|fallback_from_bad_x0,ok|fallback_from_bad_x0,TRUE,TRUE,FALSE,e_out_of_bounds;omega_out_of_bounds;d_out_of_bounds,FALSE,e_out_of_bounds;omega_out_of_bounds;d_out_of_bounds,FALSE,low_var_or_amp,FALSE,low_var_or_amp,8.363521551615987e-66,8.279220813603017e-66,NA,NA,2.0629290993377192e-68,2.042135651918154e-68,FALSE,FAIL_NUMERIC_TAINT,NA,NA,NA,NA,NA,NA,FAIL_NUMERIC_TAINT,0
528,8,2.5,0.07,0.04,0.06,0.02,0.45,0.129733267976837,0.00952614368439154,0.6752857843105318,0.08249999999999999,20,0.5,0.7200410742989873,4.766683000905771,0.9999999997738164,0.5786655136616901,0.9331815826899488,TRUE,TRUE,TRUE,3.718261900887386e-4,TRUE,ok,4,0.1309455,0.112339,0.15227249999999998,TRUE,0.9331815826899488,TRUE,TRUE,TRUE,TRUE,pass,2.4428283378412345,9,9,0.1309455,hopf_root_med,TRUE,ok,0.1289455,0.1329455,ok|fallback_from_bad_x0,ok|fallback_from_bad_x0,TRUE,TRUE,FALSE,e_out_of_bounds;omega_out_of_bounds;d_out_of_bounds,FALSE,e_out_of_bounds;omega_out_of_bounds;d_out_of_bounds,FALSE,low_var_or_amp,FALSE,low_var_or_amp,1.364216657013355e-30,1.3546211716732994e-30,NA,NA,6.400665151044723e-33,6.35564481750366e-33,FALSE,FAIL_NUMERIC_TAINT,NA,NA,NA,NA,NA,NA,FAIL_NUMERIC_TAINT,0
504,6,2.5,0.07,0.03,0.06,0.02,0.45,0.12973326797683704,0.00952614368439154,0.6753810457473757,0.045,15,2,0.7809137156371934,6.606039692287071,1,2.186009524459951,0.9332072789133788,TRUE,TRUE,TRUE,0.0010536708207178,TRUE,ok,3,0.112239,0.099655,0.1351165,TRUE,0.9332072789133788,TRUE,TRUE,TRUE,TRUE,pass,2.442586422520687,10,10,0.112239,hopf_root_med,TRUE,ok,0.110239,0.11423900000000001,ok|fallback_from_bad_x0,ok|fallback_from_bad_x0,TRUE,TRUE,FALSE,e_out_of_bounds;omega_out_of_bounds;d_out_of_bounds,FALSE,e_out_of_bounds;omega_out_of_bounds;d_out_of_bounds,FALSE,low_var_or_amp,FALSE,low_var_or_amp,3.4576160637116133e-15,3.3258172608591265e-15,NA,NA,2.7368244849595577e-17,2.7665028631167796e-17,FALSE,FAIL_NUMERIC_TAINT,NA,NA,NA,NA,NA,NA,FAIL_NUMERIC_TAINT,0
