try_id,cand_id,sigma,g_n,i,delta,kappa_min,kappa_max,kappa_star,r_star,d_star,omega_star,rF,psi,phi2,lambda_star,f_star,Z_star,phi1_fixed,e_implied,phi1_calib_ok,phi1_calib_reason,econ_ok,reason
348,1,2.35,0.08,0.025,0.06,0.02,0.45,0.32900000000000007,0.13125169104336684,0.25698157560109997,0.6851339866580604,0.02,5,0,0.6355863778116764,2.861507563539969,0.9998700087104048,0.10013969612773509,0.39944199500043664,FALSE,no_mass_fallback_minabs,TRUE,soft:phi1_calib_no_mass_fallback_minabs
348,1,2.35,0.08,0.025,0.06,0.02,0.45,0.32900000000000007,0.13125169104336684,0.25698157560109997,0.6851339866580604,0.02,5,0.5,0.6355863778116764,2.861507563539969,0.9998700087104048,0.5908867280930281,0.9137707426561051,TRUE,ok,TRUE,soft:
348,1,2.35,0.08,0.025,0.06,0.02,0.45,0.32900000000000007,0.13125169104336684,0.25698157560109997,0.6851339866580604,0.02,5,1,0.6355863778116764,2.861507563539969,0.9998700087104048,1.0148447672370822,1.0246591816613035,TRUE,ok,TRUE,soft:
348,1,2.35,0.08,0.025,0.06,0.02,0.45,0.32900000000000007,0.13125169104336684,0.25698157560109997,0.6851339866580604,0.02,5,1.5,0.6355863778116764,2.861507563539969,0.9998700087104048,1.7253451883094388,0.8924619974594004,TRUE,ok,TRUE,soft:
348,1,2.35,0.08,0.025,0.06,0.02,0.45,0.32900000000000007,0.13125169104336684,0.25698157560109997,0.6851339866580604,0.02,5,2,0.6355863778116764,2.861507563539969,0.9998700087104048,2.314156730868854,0.8814182679212853,TRUE,ok,TRUE,soft:
348,1,2.35,0.08,0.025,0.06,0.02,0.45,0.32900000000000007,0.13125169104336684,0.25698157560109997,0.6851339866580604,0.02,5,2.5,0.6355863778116764,2.861507563539969,0.9998700087104048,2.6099881460424514,0.9730599832903242,TRUE,ok,TRUE,soft:
348,1,2.35,0.08,0.025,0.06,0.02,0.45,0.32900000000000007,0.13125169104336684,0.25698157560109997,0.6851339866580604,0.02,5,3,0.6355863778116764,2.861507563539969,0.9998700087104048,3.231202696403489,0.9407054622461388,TRUE,ok,TRUE,soft:
348,1,2.35,0.08,0.025,0.06,0.02,0.45,0.32900000000000007,0.13125169104336684,0.25698157560109997,0.6851339866580604,0.02,10,0,0.7525980435195718,4.99085411919972,0.9999999999948017,0.10453936376143247,0.38263098760848907,FALSE,no_mass_fallback_minabs,TRUE,soft:phi1_calib_no_mass_fallback_minabs
348,1,2.35,0.08,0.025,0.06,0.02,0.45,0.32900000000000007,0.13125169104336684,0.25698157560109997,0.6851339866580604,0.02,10,0.5,0.7525980435195718,4.99085411919972,0.9999999999948017,0.6547992005012929,0.8246802983021275,TRUE,ok,TRUE,soft:
348,1,2.35,0.08,0.025,0.06,0.02,0.45,0.32900000000000007,0.13125169104336684,0.25698157560109997,0.6851339866580604,0.02,10,1,0.7525980435195718,4.99085411919972,0.9999999999948017,1.1779387739254163,0.8828981802925621,TRUE,ok,TRUE,soft:
348,1,2.35,0.08,0.025,0.06,0.02,0.45,0.32900000000000007,0.13125169104336684,0.25698157560109997,0.6851339866580604,0.02,10,1.5,0.7525980435195718,4.99085411919972,0.9999999999948017,1.7084217064082625,0.9014167838161312,TRUE,ok,TRUE,soft:
348,1,2.35,0.08,0.025,0.06,0.02,0.45,0.32900000000000007,0.13125169104336684,0.25698157560109997,0.6851339866580604,0.02,10,2,0.7525980435195718,4.99085411919972,0.9999999999948017,2.146418399224058,0.9504204775392694,TRUE,ok,TRUE,soft:
348,1,2.35,0.08,0.025,0.06,0.02,0.45,0.32900000000000007,0.13125169104336684,0.25698157560109997,0.6851339866580604,0.02,10,2.5,0.7525980435195718,4.99085411919972,0.9999999999948017,2.833069714647718,0.8965540053089883,TRUE,ok,TRUE,soft:
348,1,2.35,0.08,0.025,0.06,0.02,0.45,0.32900000000000007,0.13125169104336684,0.25698157560109997,0.6851339866580604,0.02,10,3,0.7525980435195718,4.99085411919972,0.9999999999948017,3.550743336277083,0.8561587566539838,TRUE,ok,TRUE,soft:
348,1,2.35,0.08,0.025,0.06,0.02,0.45,0.32900000000000007,0.13125169104336684,0.25698157560109997,0.6851339866580604,0.02,15,0,0.841412477299489,8.704720950769868,1,0.12160160969942808,0.32894301398534964,FALSE,no_mass_fallback_minabs,TRUE,soft:phi1_calib_no_mass_fallback_minabs
348,1,2.35,0.08,0.025,0.06,0.02,0.45,0.32900000000000007,0.13125169104336684,0.25698157560109997,0.6851339866580604,0.02,15,0.5,0.841412477299489,8.704720950769868,1,0.577178846905008,0.935585222666473,TRUE,ok,TRUE,soft:
348,1,2.35,0.08,0.025,0.06,0.02,0.45,0.32900000000000007,0.13125169104336684,0.25698157560109997,0.6851339866580604,0.02,15,1,0.841412477299489,8.704720950769868,1,1.1106502020498739,0.9363884309213845,TRUE,ok,TRUE,soft:
348,1,2.35,0.08,0.025,0.06,0.02,0.45,0.32900000000000007,0.13125169104336684,0.25698157560109997,0.6851339866580604,0.02,15,1.5,0.841412477299489,8.704720950769868,1,1.6326309377560395,0.943262781799691,TRUE,ok,TRUE,soft:
348,1,2.35,0.08,0.025,0.06,0.02,0.45,0.32900000000000007,0.13125169104336684,0.25698157560109997,0.6851339866580604,0.02,15,2,0.841412477299489,8.704720950769868,1,2.357400743220933,0.8653598697066388,TRUE,ok,TRUE,soft:
