try_id,cand_id,sigma,g_n,i,delta,kappa_min,kappa_max,kappa_star,r_star,d_star,omega_star,rF,psi,phi2,lambda_star,f_star,Z_star,phi1_fixed,e_implied,phi1_calib_ok,phi1_calib_reason,econ_ok,reason,omega_gap,lam_mid,e_gap
348,1,2.35,0.08,0.025,0.06,0.02,0.45,0.32900000000000007,0.13125169104336684,0.25698157560109997,0.6851339866580604,0.0325,5,2,0.6209914278028151,2.68813758452901,0.9994798917134122,2.169649698585272,0.9397645088773251,TRUE,ok,TRUE,ok,0.035133986658060334,0.12099142780281513,2.3549112267484684e-4
573,15,2.5,0.08,0.04,0.05,0.02,0.45,0.325,0.12973326797683704,0.0083353757238426,0.6753334150289537,0.1075,15,2,0.5826104978681631,2.263592024356151,0.8980203275354913,1.953779491502792,0.9397379095522965,TRUE,ok,TRUE,ok,0.0253334150289537,0.0826104978681631,2.620904477034225e-4
573,15,2.5,0.08,0.04,0.05,0.02,0.45,0.325,0.12973326797683704,0.0083353757238426,0.6753334150289537,0.08249999999999999,5,2.5,0.5587686888316964,2.0536532146065603,0.6214973852277159,1.6949798088287937,0.9402728308430667,TRUE,ok,TRUE,ok,0.0253334150289537,0.05876868883169639,2.728308430667292e-4
360,2,2.35,0.08,0.03,0.06,0.02,0.45,0.32900000000000007,0.13125169104336684,0.25698157560109997,0.6838490787800549,0.06999999999999999,10,3,0.6485147293699275,3.027106041447721,0.9999654373002629,3.2349224590463566,0.9397122652506913,TRUE,ok,TRUE,ok,0.03384907878005483,0.1485147293699275,2.877347493086546e-4
348,1,2.35,0.08,0.025,0.06,0.02,0.45,0.32900000000000007,0.13125169104336684,0.25698157560109997,0.6851339866580604,0.1075,20,2.5,0.6165745001571415,2.6382715101437584,0.9992251180542517,2.7011035172734412,0.9396392174179281,TRUE,ok,TRUE,ok,0.035133986658060334,0.11657450015714155,3.607825820718391e-4
576,16,2.5,0.08,0.04,0.06,0.02,0.45,0.35000000000000003,0.13979741561574782,0.00633076200788132,0.6502532304803152,0.08249999999999999,20,3,0.7587700817033393,5.496524706474655,0.9999999999993241,3.2352881809463727,0.9396380878530346,TRUE,ok,TRUE,ok,2.532304803152252e-4,0.25877008170333926,3.6191214696534857e-4
348,1,2.35,0.08,0.025,0.06,0.02,0.45,0.32900000000000007,0.13125169104336684,0.25698157560109997,0.6851339866580604,0.02,10,3,0.7525980435195718,4.99085411919972,0.9999999999948017,3.2353148898575457,0.9396303307336678,TRUE,ok,TRUE,ok,0.035133986658060334,0.2525980435195718,3.6966926633219543e-4
516,7,2.5,0.07,0.035,0.06,0.02,0.45,0.325,0.12973326797683704,0.00952614368439154,0.6753334150289537,0.12,10,0.5,0.5243139777947884,2.0427930132184158,0.6031370047689298,0.36321612566243855,0.9404001591655866,TRUE,ok,TRUE,ok,0.0253334150289537,0.02431397779478839,4.0015916558666653e-4
540,10,2.5,0.08,0.025,0.06,0.02,0.45,0.35000000000000003,0.13979741561574782,0.00633076200788132,0.6503481919104335,0.045,10,0.5,0.7207075820201487,4.509299702344584,0.9999999981811178,0.5747146768961102,0.9395966743131801,TRUE,ok,TRUE,ok,3.4819191043344855e-4,0.22070758202014873,4.033256868198887e-4
360,2,2.35,0.08,0.03,0.06,0.02,0.45,0.32900000000000007,0.13125169104336684,0.25698157560109997,0.6838490787800549,0.06999999999999999,20,1,0.7729481949894945,5.585220830803084,0.9999999999999551,1.1068768458906564,0.9395805900728836,TRUE,ok,TRUE,ok,0.03384907878005483,0.2729481949894945,4.1940992711630987e-4
576,16,2.5,0.08,0.04,0.06,0.02,0.45,0.35000000000000003,0.13979741561574782,0.00633076200788132,0.6502532304803152,0.08249999999999999,20,1.5,0.7587700817033393,5.496524706474655,0.9999999999993241,1.6391434045042845,0.9395151124466248,TRUE,ok,TRUE,ok,2.532304803152252e-4,0.25877008170333926,4.848875533751684e-4
573,15,2.5,0.08,0.04,0.05,0.02,0.45,0.325,0.12973326797683704,0.0083353757238426,0.6753334150289537,0.045,15,3,0.7809137156371934,5.780284730751188,0.9999999999999314,3.2357405838789424,0.9395067129749634,TRUE,ok,TRUE,ok,0.0253334150289537,0.28091371563719336,4.932870250365928e-4
573,15,2.5,0.08,0.04,0.05,0.02,0.45,0.325,0.12973326797683704,0.0083353757238426,0.6753334150289537,0.06999999999999999,10,1.5,0.6450458285765892,2.9469967559644594,0.9995206772994886,1.6365232045296583,0.9405800123632386,TRUE,ok,TRUE,ok,0.0253334150289537,0.1450458285765892,5.8001236323868e-4
