try_id,cand_id,sigma,g_n,i,delta,kappa_min,kappa_max,kappa_star,r_star,d_star,omega_star,rF,psi,phi2,lambda_star,f_star,Z_star,phi1_fixed,phi1,e_implied,phi1_calib_ok,phi1_calib_reason,econ_ok,reason_fatal,reason_warn
348,1,2.35,0.08,0.025,0.06,0.02,0.45,0.32900000000000007,0.13125169104336684,0.25698157560109997,0.6851339866580604,0.02,15,1,0.841412477299489,8.704720950769868,1,1.106256083608605,1.106256083608605,0.9401078244085421,TRUE,ok,TRUE,ok,ok
348,1,2.35,0.08,0.025,0.06,0.02,0.45,0.32900000000000007,0.13125169104336684,0.25698157560109997,0.6851339866580604,0.045,10,0.5,0.7031862406990442,3.8868810962278872,0.999999964399331,0.5748243612935767,0.5748243612935767,0.9394173569548393,TRUE,ok,TRUE,ok,ok
348,1,2.35,0.08,0.025,0.06,0.02,0.45,0.32900000000000007,0.13125169104336684,0.25698157560109997,0.6851339866580604,0.057499999999999996,20,0.5,0.8138212965619713,7.171565504564987,1,0.5740389931248502,0.5740389931248502,0.9407026464534146,TRUE,ok,TRUE,ok,ok
348,1,2.35,0.08,0.025,0.06,0.02,0.45,0.32900000000000007,0.13125169104336684,0.25698157560109997,0.6851339866580604,0.08249999999999999,10,1.5,0.6195213056922211,2.6714117053727287,0.9994054709352692,1.635879951133393,1.635879951133393,0.9408442259693675,TRUE,ok,TRUE,ok,ok
348,1,2.35,0.08,0.025,0.06,0.02,0.45,0.32900000000000007,0.13125169104336684,0.25698157560109997,0.6851339866580604,0.08249999999999999,10,2.5,0.6195213056922211,2.6714117053727287,0.9994054709352692,2.697820281214081,2.697820281214081,0.9409498827682412,TRUE,ok,TRUE,ok,ok
348,1,2.35,0.08,0.025,0.06,0.02,0.45,0.32900000000000007,0.13125169104336684,0.25698157560109997,0.6851339866580604,0.08249999999999999,5,1,0.560639652558834,2.0935236558348675,0.9428938477444111,1.0445446235360578,1.0445446235360578,0.9409783226082361,TRUE,ok,TRUE,ok,ok
348,1,2.35,0.08,0.025,0.06,0.02,0.45,0.32900000000000007,0.13125169104336684,0.25698157560109997,0.6851339866580604,0.1075,20,2.5,0.6165745001571415,2.6382715101437584,0.9992251180542517,2.7029869307531045,2.7029869307531045,0.9389844864801015,TRUE,ok,TRUE,ok,ok
348,1,2.35,0.08,0.025,0.06,0.02,0.45,0.32900000000000007,0.13125169104336684,0.25698157560109997,0.6851339866580604,0.0325,15,1.5,0.8147651398730988,7.2164671338231985,1,1.6411053703166547,1.6411053703166547,0.9383919081946906,TRUE,ok,TRUE,ok,ok
348,1,2.35,0.08,0.025,0.06,0.02,0.45,0.32900000000000007,0.13125169104336684,0.25698157560109997,0.6851339866580604,0.095,5,1.5,0.5451909538384682,1.9666834696002986,0.8568439306544438,1.407196865230799,1.407196865230799,0.9417771803835738,TRUE,ok,TRUE,ok,ok
348,1,2.35,0.08,0.025,0.06,0.02,0.45,0.32900000000000007,0.13125169104336684,0.25698157560109997,0.6851339866580604,0.0325,5,3,0.6209914278028151,2.68813758452901,0.9994798917134122,3.2262106091249736,3.2262106091249736,0.9417983024872436,TRUE,ok,TRUE,ok,ok
